census_aland,census_aland_sqmi,census_awater,census_awater_sqmi,census_diversity_score,census_educational_score,census_geoid,census_intptlat,census_intptlong,census_median_age,census_median_household_income,census_population,top_category
391938216,151.328,2900596,1.12,0.20411343097538173,3.3572044040210627,70546,30.266368,-92.673552                                                                                                                                               ,37.2,39382.0,16045,Career & Business
860159769,332.11,233803,0.09,0.033764772087788414,3.982706766917293,67560,38.399335,-99.939209                                                                                                                                                 ,47.2,48542.0,1777,Others
1146215818,442.556,37430,0.014,0.1537391304347826,3.260206370569762,85348,33.714236,-113.721274                                                                                                                                              ,64.1,36044.0,2875,Outdoors & Adventure
78009650,30.12,724838,0.28,0.0396039603960396,4.420731707317073,63458,39.992451,-92.019907                                                                                                                                                   ,52.8,66250.0,202,Others
296341110,114.418,9250455,3.572,0.3071695548759769,3.3243744207599626,74455,35.361221,-95.261462                                                                                                                                              ,49.6,29777.0,2943,Others
180243685,69.592,8452745,3.264,0.84537468196438,3.2777440412934573,36108,32.3391,-86.401107                                                                                                                                                 ,35.5,24550.0,20831,Others
123312367,47.611,40417,0.016,0.04609101516919487,3.9568892645815716,54204,44.755474,-87.605319                                                                                                                                                 ,42.6,63646.0,1714,Career & Business
417128959,161.054,11492081,4.437,0.2868846354360617,4.277658005219562,30461,32.511828,-81.718844                                                                                                                                             ,36.6,57582.0,13427,Socializing
993592,0.384,0,0.,0.0,3.6931818181818175,65327,38.973973,-93.495313                                                                                                                                                            ,45.5,45000.0,239,Others
212157162,81.914,441458,0.17,0.03283545241328231,5.01773799837266,80433,39.477721,-105.262386                                                                                                                                                ,49.2,83164.0,8101,Outdoors & Adventure
145779378,56.286,374863,0.145,0.1038685208596713,5.139553999946968,80134,39.486112,-104.778923                                                                                                                                               ,36.0,102806.0,59325,Outdoors & Adventure
214788022,82.93,37558993,14.502,0.16524128781597214,5.3841322314049584,47401,39.102297,-86.442818                                                                                                                                              ,29.4,49430.0,42211,Outdoors & Adventure
899471385,347.288,4709104,1.818,0.018402807498074124,3.718574566756163,54451,45.19739,-90.407651                                                                                                                                               ,43.6,46691.0,11683,Others
218521222,84.372,3584705,1.384,0.0,3.2566585956416465,63436,39.505732,-91.55251                                                                                                                                                ,48.4,47159.0,1121,Others
11521924,4.449,15052,0.006,0.7188972256150759,4.3206793206793215,73105,35.520032,-97.501254                                                                                                                                                   ,33.8,32633.0,5731,Socializing
285396340,110.192,2330960,0.9,0.2301047120418848,4.239513628203036,74019,36.284765,-95.603194                                                                                                                                                ,37.1,64184.0,19100,Socializing
57970813,22.383,534706,0.206,0.05035669324381032,3.813291139240506,24243,36.773058,-82.926016                                                                                                                                                 ,43.3,40833.0,2383,Outdoors & Adventure
5151823,1.989,0,0.,0.0,3.393548387096774,14707,42.07734,-78.06052                                                                                                                                                             ,46.7,57500.0,225,Others
