GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree
8600000US01378,01378,ZCTA5 01378,578,12,42,153,129,44,129,69
8600000US01379,01379,ZCTA5 01379,661,14,30,176,94,49,161,137
8600000US01420,01420,ZCTA5 01420,25817,1930,2671,8579,4894,2405,3659,1679
8600000US01430,01430,ZCTA5 01430,4225,43,123,1099,674,541,1235,510
8600000US01431,01431,ZCTA5 01431,2238,57,105,849,400,284,332,211
8600000US01432,01432,ZCTA5 01432,5504,117,184,1687,1075,445,1159,837
8600000US01434,01434,ZCTA5 01434,1330,29,93,471,358,35,210,134
8600000US01436,01436,ZCTA5 01436,2664,115,213,1037,580,290,208,221
8600000US01438,01438,ZCTA5 01438,423,18,0,192,124,40,1,48
8600000US01440,01440,ZCTA5 01440,14223,853,1378,5310,2786,1557,1457,882
8600000US01450,01450,ZCTA5 01450,7473,31,53,1033,930,445,2760,2221
8600000US01451,01451,ZCTA5 01451,3250,12,30,271,361,122,1126,1328
8600000US01452,01452,ZCTA5 01452,3047,27,147,988,730,309,488,358
8600000US01453,01453,ZCTA5 01453,29103,1527,2408,9347,5520,2442,5232,2627
8600000US01460,01460,ZCTA5 01460,6701,33,83,1252,958,432,2246,1697
8600000US01462,01462,ZCTA5 01462,7801,167,437,2134,1441,871,1794,957
8600000US01463,01463,ZCTA5 01463,7980,116,362,2276,1562,729,1958,977
8600000US01464,01464,ZCTA5 01464,5803,250,546,2203,1154,264,995,391
8600000US01467,01467,ZCTA5 01467,293,0,0,8,18,7,106,154
8600000US01468,01468,ZCTA5 01468,2849,33,181,1112,701,389,328,105
8600000US01469,01469,ZCTA5 01469,4924,41,120,1656,937,590,1077,503
8600000US01473,01473,ZCTA5 01473,5192,87,234,1022,961,671,1451,766
8600000US01474,01474,ZCTA5 01474,1291,23,49,400,180,76,312,251
8600000US01475,01475,ZCTA5 01475,7427,285,549,2651,1592,878,915,557
8600000US01501,01501,ZCTA5 01501,11494,237,592,3599,1895,991,2621,1559
8600000US01503,01503,ZCTA5 01503,2208,48,73,528,327,159,655,418
8600000US01504,01504,ZCTA5 01504,6087,140,397,2064,1329,475,1161,521
8600000US01505,01505,ZCTA5 01505,3190,64,103,556,411,349,1038,669
